year,round,team,record,all_stars,mvps,defending_champ,results,srs,odds,srs_rank,,,,,,,,,
1985,First Round,Bucks,59-23,2,0,No,Loss,6.69,800,1,,,,,,,,,
1986,First Round,Celtics,67-15,3,1,No,Loss,9.06,250,1,,,,,,,,,
1987,First Round,Celtics,59-23,3,1,Yes,Loss,6.57,160,3,,,,,,,,,
1988,First Round,Cavaliers,42-40,1,0,No,Win,1.28,7500,11,,,,,,,,,
1988,Semifinals,Pistons,54-28,1,0,No,Loss,5.46,600,2,,,,,,,,,
1989,First Round,Cavaliers,57-25,3,0,No,Win,7.95,800,1,,,,,,,,,
1989,Semifinals,Knicks,52-30,2,0,No,Win,3.62,300,8,,,,,,,,,
1989,Conference Finals,Pistons,63-19,1,0,No,Loss,6.24,400,4,,,,,,,,,
1990,First Round,Bucks,44-38,0,0,No,Win,-1.06,2000,18,,,,,,,,,
1990,Semifinals,76ers,53-29,1,1,No,Win,4.23,2500,6,,,,,,,,,
1990,Conference Finals,Pistons,59-23,3,0,Yes,Loss,5.41,300,4,,,,,,,,,
1991,First Round,Knicks,39-43,1,0,No,Win,-0.43,1500,16,,,,,,,,,
1991,Semifinals,76ers,44-38,1,1,No,Win,-0.39,1200,15,,,,,,,,,
1991,Conference Finals,Pistons,50-32,2,0,Yes,Win,3.08,350,9,,,,,,,,,
1991,Finals,Lakers,58-24,2,1,No,Win,6.73,450,3,,,,,,,,,
1992,First Round,Heat,38-44,0,0,No,Win,-3.94,40000,21,,,,,,,,,
1992,Semifinals,Knicks,51-31,1,0,No,Win,3.67,2200,7,,,,,,,,,
1992,Conference Finals,Cavaliers,57-25,2,0,No,Win,5.34,4000,7,,,,,,,,,
1992,Finals,Trail Blazers,57-25,1,0,No,Win,6.94,400,2,,,,,,,,,
1993,First Round,Hawks,43-39,1,0,No,Win,-0.67,7500,16,,,,,,,,,
1993,Semifinals,Cavaliers,54-28,3,0,No,Win,6.3,500,2,,,,,,,,,
1993,Conference Finals,Knicks,60-22,1,0,No,Win,5.87,500,5,,,,,,,,,
1993,Finals,Suns,62-20,2,1,No,Win,6.27,1000,3,,,,,,,,,
1995,First Round,Hornets,50-32,2,0,No,Win,2.87,1000,9,,,,,,,,,
1995,Semifinals,Magic,57-25,2,1,No,Loss,6.44,450,3,,,,,,,,,
1996,First Round,Heat,42-40,1,0,No,Win,1.46,7500,13,,,,,,,,,
1996,Semifinals,Knicks,47-35,1,0,No,Win,2.24,1200,10,,,,,,,,,
1996,Conference Finals,Magic,60-22,2,1,No,Win,5.4,400,5,,,,,,,,,
1996,Finals,Supersonics,64-18,2,0,No,Win,7.4,800,2,,,,,,,,,
1997,First Round,Bullets,44-38,1,0,No,Win,1.77,4000,13,,,,,,,,,
1997,Semifinals,Hawks,56-26,2,0,No,Win,5.51,2000,5,,,,,,,,,
1997,Conference Finals,Heat,61-21,2,0,No,Win,5.56,1600,4,,,,,,,,,
1997,Finals,Jazz,64-18,2,1,No,Win,7.97,1800,2,,,,,,,,,
1998,First Round,Nets,43-39,1,0,No,Win,1.88,15000,14,,,,,,,,,
1998,Semifinals,Hornets,51-31,1,0,No,Win,2.45,1800,12,,,,,,,,,
1998,Conference Finals,Pacers,58-24,2,0,No,Win,6.25,2500,4,,,,,,,,,
1998,Finals,Jazz,62-20,1,1,No,Win,5.73,600,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
