year,team,player
2007,Wizards,Gilbert Arenas
2007,Wizards,Caron Butler
2007,Nets,Vince Carter
2007,Nets,Jason Kidd
2007,Pistons,Chauncey Billups
2007,Pistons,Richard Hamilton
2007,Spurs,Tim Duncan
2007,Spurs,Tony Parker
2011,Celtics,Ray Allen
2011,Celtics,Kevin Garnett
2011,Celtics,Paul Pierce
2011,Celtics,Rajon Rondo
2011,Bulls,Derrick Rose
2011,Mavericks,Dirk Nowitzki
2012,Knicks,Carmelo Anthony
2012,Pacers,Roy Hibbert
2012,Celtics,Paul Pierce
2012,Celtics,Rajon Rondo
2012,Thunder,Kevin Durant
2012,Thunder,Russell Westbrook
2013,Bulls,Luol Deng
2013,Bulls,Joakim Noah
2013,Pacers,Paul George
2013,Spurs,Tim Duncan
2013,Spurs,Tony Parker
2014,Nets,Joe Johnson
2014,Pacers,Paul George
2014,Pacers,Roy Hibbert
2014,Spurs,Tony Parker
2015,Bulls,Jimmy Butler III
2015,Bulls,Pau Gasol
2015,Hawks,Al Horford
2015,Hawks,Kyle Korver
2015,Hawks,Paul Millsap
2015,Hawks,Jeff Teague
2015,Warriors,Stephen Curry
2015,Warriors,Klay Thompson
2016,Pistons,Andre Drummond
2016,Hawks,Al Horford
2016,Hawks,Paul Millsap
2016,Raptors,DeMar DeRozan
2016,Raptors,Kyle Lowry
2016,Warriors,Stephen Curry
2016,Warriors,Draymond Green
2016,Warriors,Klay Thompson
2017,Pacers,Paul George
2017,Raptors,DeMar DeRozan
2017,Raptors,Kyle Lowry
2017,Celtics,Isaiah Thomas
2017,Warriors,Stephen Curry
2017,Warriors,Kevin Durant
2017,Warriors,Draymond Green
2017,Warriors,Klay Thompson
2018,Pacers,Victor Oladipo
2018,Raptors,DeMar DeRozan
2018,Raptors,Kyle Lowry
2018,Celtics,Al Horford
2018,Celtics,Kyrie Irving
2018,Warriors,Stephen Curry
2018,Warriors,Kevin Durant
2018,Warriors,Draymond Green
2018,Warriors,Klay Thompson
2020,Blazers,Damian Lillard
2020,Rockets,James Harden
2020,Rockets,Russell Westbrook
2020,Nuggets,Nikola Jokic
2020,Heat,Bam Adebayo
2020,Heat,Jimmy Butler III
