year,team,player
1991,Knicks,Patrick Ewing
1991,Sixers,Charles Barkley
1991,Sixers,Hersey Hawkins
1991,Pistons,Joe Dumars
1991,Pistons,Isiah Thomas
1991,Lakers,Magic Johnson
1991,Lakers,James Worthy
1992,Knicks,Patrick Ewing
1992,Cavaliers,Brad Daugherty
1992,Cavaliers,Mark Price
1992,Blazers,Clyde Drexler
1993,Hawks,Dominique Wilkins
1993,Cavaliers,Brad Daugherty
1993,Cavaliers,Larry Nance
1993,Cavaliers,Mark Price
1993,Knicks,Patrick Ewing
1993,Suns,Charles Barkley
1993,Suns,Dan Majerle
1996,Heat,Alonzo Mourning
1996,Knicks,Patrick Ewing
1996,Magic,Penny Hardaway
1996,Magic,Shaquille O'Neal
1996,Supersonics,Shawn Kemp
1996,Supersonics,Gary Payton
1997,Bullets,Chris Webber
1997,Hawks,Christian Laettner
1997,Hawks,Dikembe Mutombo
1997,Heat,Tim Hardaway
1997,Heat,Alonzo Mourning
1997,Jazz,Karl Malone
1997,Jazz,John Stockton
1998,Nets,Jayson Williams
1998,Hornets,Glen Rice
1998,Pacers,Reggie Miller
1998,Pacers,Rik Smits
1998,Jazz,Karl Malone
