year,round,team,record,all_stars,mvps,defending_champ,results,srs,odds,srs_rank
2007,First Round,Wizards,41-41,2,0,No,4-0,-0.80,6500,15
2007,Semifinals,Nets,41-41,2,0,No,4-2,-1.00,1500,16
2007,Conference Finals,Pistons,53-29,2,0,No,4-2,3.69,800,6
2007,Finals,Spurs,58-24,2,1,No,0-4,8.35,450,1
2011,First Round,Sixers,41-41,0,0,No,4-1,1.00,10000,14
2011,Semifinals,Celtics,56-26,4,1,No,4-1,4.83,1000,6
2011,Conference Finals,Bulls,62-20,1,1,No,4-1,6.53,1400,2
2011,Finals,Mavericks,57-25,1,1,No,2-4,4.41,2000,8
2012,First Round,Knicks,36-30,1,0,No,4-1,2.39,1600,10
2012,Semifinals,Pacers,42-24,1,0,No,4-2,2.6,6600,8
2012,Conference Finals,Celtics,39-27,2,1,No,4-3,2.26,1600,12
2012,Finals,Thunder,47-19,2,0,No,4-1,6.44,700,3
2013,First Round,Bucks,38-44,0,0,No,4-0,-1.83,10000,21
2013,Semifinals,Bulls,45-37,2,0,No,4-1,0.0,1200,14
2013,Conference Finals,Pacers,49-32,1,0,No,4-3,3.34,3300,9
2013,Finals,Spurs,58-24,2,1,No,4-3,6.67,1600,3
2014,First Round,Bobcats,43-39,0,0,No,4-0,-0.99,30000,17
2014,Semifinals,Nets,44-38,1,0,No,4-1,-1.8,1200,24
2014,Conference Finals,Pacers,56-26,2,0,No,4-2,3.83,1400,8
2014,Finals,Spurs,62-20,1,1,Yes,1-4,8.45,1200,1
2015,First Round,Celtics,40-42,0,0,No,4-0,-0.3,15000,16
2015,Semifinals,Bulls,50-32,2,0,No,4-2,2.88,1000,10
2015,Conference Finals,Hawks,60-22,4,0,No,4-0,5.29,12500,4
2015,Finals,Warriors,67-15,2,1,No,2-4,10.01,2800,1
2016,First Round,Pistons,44-38,1,0,No,4-0,0.4,25000,14
2016,Semifinals,Hawks,48-34,2,0,No,4-0,3.49,3600,7
2016,Conference Finals,Raptors,56-26,2,0,No,4-2,4.5,6600,5
2016,Finals,Warriors,73-9,3,1,Yes,4-3,10.38,480,2
2017,First Round,Pacers,42-40,1,0,No,4-0,-0.62,8000,18
2017,Semifinals,Raptors,51-31,2,0,No,4-0,3.93,5500,6
2017,Conference Finals,Celtics,53-29,1,0,No,4-1,2.25,2900,8
2017,Finals,Warriors,67-15,4,2,Yes,1-4,11.41,-128,1
2018,First Round,Pacers,48-34,1,0,No,4-3,1.24,12500,13
2018,Semifinals,Raptors,59-23,2,0,No,4-0,7.54,4500,2
2018,Conference Finals,Celtics,55-27,2,0,No,4-3,3.39,1200,7
2018,Finals,Warriors,58-24,4,2,Yes,0-4,5.79,-187,3
2020,First Round,Blazers,35-39,1,0,No,4-1,-0.61,3500,16
2020,Semifinals,Rockets,44-28,2,2,No,4-1,3.13,700,7
2020,Conference Finals,Nuggets,46-27,1,0,No,4-1,2.35,2000,11
2020,Finals,Heat,44-29,2,0,No,4-2,2.59,6000,9
